machine_id,test_id,technician,test_routine,batched,loc_1_x_offset,loc_1_y_offset,loc_1_z_offset,loc_2_x_offset,loc_2_y_offset,loc_2_z_offset
Machine_01,4e55428fe0bc4195a4773ac054ec304e,Michael Stewart,"['a', 'f']",N/A,2.78,0.199711,2987,5.83,0.916092,3738
Machine_09,4a26debb975d4f4c9af3b936cf561bf7,Catherine Alvarez,"['f', 'a', 'e', 'b']",No,11.14,0.139901,4633,12.83,0.1207,3132
Machine_09,eab1cb18af7a4289947115bd057b107e,Amanda Harris,"['e', 'c', 'f']",N/A,13.5,0.746961,4378,6.55,0.91374,4703
Machine_06,977a223b2a5c4bec9249429829c1d7ee,Kevin Smith,"['c', 'f']",No,11.47,0.354687,2646,-13.34,0.156674,4889
Machine_10,a632185d71994c509b2b062872f021e4,William Anderson,['d'],N/A,-7.6,0.18831,4642,9.9,0.422753,3845
Machine_10,39ef089ccc354299840394f61c1d5124,Brett Kerr,"['c', 'f', 'a', 'b']",Yes,8.63,0.39661,3736,-4.94,0.964363,3182
Machine_21,5479387a49544dbb95d68a397fb57b25,Renee Frey,['a'],Yes,-8.95,0.64126,4076,-14.12,0.583505,4625
Machine_10,97814b89e48149ba8c618519c70f0897,John Richards,"['b', 'd', 'a', 'f', 'e', 'c']",N/A,10.21,0.201268,3968,-11.8,0.946875,4653
Machine_15,4b28a9ef6e58495a8babd1e573315cbc,Christina Crawford,"['b', 'a', 'f']",N/A,-10.13,0.480675,4048,-3.69,0.109834,4942
Machine_16,8e40ea3f2e5e407e82995d97562a539f,Jared Frazier,"['d', 'c', 'f', 'b', 'a']",N/A,5.28,0.356746,3803,12.41,0.550615,3107
Machine_09,3114b535d52446898aa64032b77003dc,Brittney Gray,"['f', 'd', 'a']",Yes,2.5,0.236024,3034,-13.38,0.795762,4337
Machine_11,f204b30c3402497e8e19701486ab76ec,Rebecca Melton,"['c', 'e', 'd', 'f']",N/A,-13.73,0.711533,4621,10.76,0.783249,4246
Machine_25,e35d81a1143d4a1185f3f08a687828cd,Joseph George,"['d', 'e', 'b', 'a']",N/A,14.0,0.317133,4576,4.32,0.68808,4521
Machine_09,527d711b3a7147a8a76faf294730d419,Elizabeth Russell,"['a', 'b', 'e', 'f']",No,9.42,0.987613,2647,1.53,0.515722,4965
Machine_23,6fdd9b81f70d47f3a742e712316f1a45,Michael Patrick,"['d', 'a', 'f']",No,0.6,0.493763,3120,-14.4,0.660567,3826
Machine_04,2b42daebf76c49bbb2dad37898c1110e,Mariah Lee,"['a', 'f', 'd', 'c']",N/A,-4.83,0.715684,3713,11.16,0.83817,3703
Machine_24,e795d1015c734ee788079bbfb0f2460e,Melanie Patrick,"['b', 'a', 'd', 'f', 'c']",Yes,0.45,0.46809,2663,1.32,0.990677,4630
Machine_22,a6dea9f3cdb14d849557558c5d3a7bd0,Sherri Hall,"['e', 'f', 'd', 'c', 'b', 'a']",Yes,-1.72,0.96771,2844,-11.53,0.10403,4200
Machine_25,e19368b464e74a71a8e3057d06e31636,Troy Moody,"['f', 'd', 'a', 'b']",No,9.32,0.369626,2788,-11.45,0.362225,3924
Machine_06,c340f1b8c9e549f295c18862aa1b21fc,William Fuentes,['e'],Yes,-8.0,0.69103,3004,9.0,0.387061,2600
Machine_20,6bf066e92c8e44d9900f435f0fc59392,Charles Gibson,"['c', 'f', 'b', 'a']",Yes,-3.42,0.306846,3713,14.7,0.192985,4929
Machine_03,e431887dacba47f9aa432d32a40eb000,Kevin Moore,"['b', 'f']",No,2.31,0.791526,3253,-5.47,0.69541,2689
Machine_05,a2472bf65e7a4408a6ecb11bc6367127,Jennifer Park,"['d', 'c']",N/A,-1.94,0.619788,4229,-5.81,0.88663,3516
Machine_15,b4fcf2b118064a3fb8db90f7ceb8353e,Mandy Rice,"['d', 'a', 'f', 'c']",No,0.26,0.307559,4428,-12.23,0.290424,2959
Machine_18,d69539ce290e4287af9e59433c5dab81,Brittany Park,"['b', 'd', 'e', 'a']",Yes,0.43,0.372629,4394,6.81,0.506764,3334
Machine_10,8cb94e67ae5846ee85f810d7b2af857d,Michael Montgomery,['b'],No,-11.98,0.571692,4995,-10.54,0.97048,4538
Machine_25,b50af2dff2d8477ab6eff6b4f4286d52,Kimberly Sullivan,"['a', 'f', 'c', 'd', 'e', 'b']",No,-2.67,0.46618,2917,9.32,0.297162,3302
Machine_20,9c17b2fa1b7245a783e14386e5008dcb,Benjamin Baker,"['c', 'a', 'b', 'e', 'f']",No,13.37,0.545085,3050,4.66,0.557187,2931
Machine_14,12795edf4ee745a996a65c5c46904e20,Kimberly Figueroa,"['c', 'd', 'f']",N/A,6.17,0.129287,2993,-2.51,0.146311,4792
Machine_22,e7e8fa9294c34c66beb6aeb19cd71c00,Mark Newton,"['d', 'f']",N/A,2.4,0.683728,2746,0.38,0.781408,4529
Machine_02,cbd854be9d3249da9d1715f3d0500a09,Cindy Kelly,"['a', 'e', 'f', 'c']",Yes,7.94,0.6735,3979,-13.14,0.283459,3698
Machine_24,7642578beeb04368a72b06a15695325b,Brenda Berry,"['a', 'd']",No,8.42,0.176428,3854,-1.82,0.155209,4332
Machine_23,ded01b25b9a24fd59f266f46cdf5dfbb,Eugene Clark,"['d', 'c']",No,-1.62,0.765233,3401,11.25,0.985697,3336
Machine_19,a4a77ca19747427685e68341567d3eb6,Susan Johnson,"['a', 'b', 'c', 'f', 'd', 'e']",N/A,-5.78,0.739166,4597,10.36,0.431418,4377
Machine_02,88095afec15649bc9c7c36446b93530c,Kelli Huber,"['f', 'd', 'e', 'b', 'c']",N/A,1.27,0.278787,2672,-13.6,0.366794,2515
Machine_10,9166a909f28344f4b2256ccb2cdc33e2,Brenda Buchanan,"['b', 'e', 'd', 'c', 'a', 'f']",Yes,-4.77,0.635808,2850,11.4,0.561933,4366
Machine_11,e6a3573c941f4700927c117af23bb71b,Joseph Lee,['b'],N/A,-3.24,0.263483,3734,-5.66,0.267008,4474
Machine_12,42ef6c73bf68449cb8bd0c30aa6175c3,Cynthia Torres,"['a', 'f', 'd', 'b', 'c']",Yes,11.52,0.482881,4302,-11.1,0.252858,2904
Machine_25,eb5d1610ec2f446b843e6b3f979fee5b,Stephen Lewis,"['a', 'd', 'e', 'f', 'c']",Yes,1.28,0.881285,3642,-3.4,0.112496,4781
Machine_10,5743f74304f345358bd600ce20c02d48,Rachel Dawson,"['e', 'f', 'd', 'c']",N/A,-6.34,0.17362,2986,5.91,0.180959,4198
Machine_08,1306d23ba55244de86147b37c23b5967,Shawn Osborn,['f'],N/A,2.54,0.12771,4075,6.34,0.773097,4812
Machine_12,3cc1e9c2054246c187f795d2b237ec3e,Mitchell Payne,"['b', 'f', 'a']",N/A,-5.86,0.24495,4028,6.61,0.610334,3201
Machine_05,51c48d77f98048c3ad0ae70068d0d634,Kristen Murphy,"['f', 'a', 'b', 'd', 'e']",Yes,2.9,0.802203,3345,11.99,0.597161,3374
Machine_08,3c7517f45313422cbd447ce1f80f32e1,Rose Wolf,"['e', 'f', 'b']",N/A,1.13,0.552007,4941,-3.62,0.323694,2551
Machine_08,dd9a846f42d247fc890c355ef05b44c3,Carla Koch,"['d', 'e', 'c', 'f', 'a', 'b']",Yes,5.51,0.861611,3796,11.37,0.98962,2742
Machine_07,dedfbc05ba7e4a69bcdb4127ae8f0ae9,Nicholas Nixon,"['d', 'b', 'c']",No,7.2,0.17801,3959,4.69,0.767886,3119
Machine_12,072aaeb61ed9415db6fc488e13a0879b,Mark Johnson,['a'],Yes,6.41,0.860835,2755,-3.84,0.142449,3386
Machine_15,169e8df28add42b8956b035a92a5ef85,Hunter Thompson,"['f', 'd', 'e']",Yes,-1.33,0.795959,2671,4.15,0.409258,3201
Machine_01,c523ed20f1cd4acf83159bfd97ec8ca6,Lisa Stanley,"['f', 'b', 'a', 'e', 'd', 'c']",Yes,-14.21,0.75266,2821,-1.76,0.650652,4373
Machine_23,42968eb03bcf4e2f95a8d1a675215386,Lance King,"['f', 'd', 'a', 'c', 'e', 'b']",Yes,-3.37,0.48037,3467,2.45,0.771227,4157
Machine_11,2bbfe1e0bdd744e39e092f085a390368,Johnathan Long,"['e', 'c', 'd']",Yes,10.68,0.979464,2656,0.5,0.423392,3919
Machine_16,4f212362b9f2429598d18c8602fd94f9,Don Forbes,"['f', 'e', 'c']",N/A,10.26,0.404825,3526,-8.14,0.843893,3493
Machine_19,78c5fa5b246448879de2101c0f93b563,Kim Hutchinson,"['b', 'c']",N/A,12.1,0.592308,3139,-3.46,0.656107,3701
Machine_11,cf8c69461b984785906368d2854d79fe,Jamie Jordan Jr.,"['e', 'a']",No,-10.43,0.994687,4467,7.84,0.783581,3268
Machine_03,5c7adfa564e3436bb064f32af736068a,Jessica Dodson,"['e', 'b']",Yes,7.81,0.607845,2950,2.8,0.791416,4280
Machine_09,6f0e2a86cd0c47a9913e755f5e8d9ffb,Adam Osborne,"['c', 'f', 'e', 'b', 'a', 'd']",Yes,13.0,0.822764,4807,-2.46,0.995644,2648
Machine_18,5d11a3166f924ed68ee16f83328d81dd,Mallory Lindsey,"['a', 'c']",N/A,-9.87,0.661554,3951,6.89,0.20071,3520
Machine_19,1de89094b92b42c28eab4398e0001b19,Denise Duffy,"['a', 'e', 'd', 'f']",N/A,8.57,0.197425,3173,0.8,0.665582,4116
Machine_09,a652bdf735174cd39331401107484385,Stephen Ayala,"['c', 'a', 'f', 'e', 'b']",Yes,10.32,0.799384,4129,-2.55,0.730961,2657
Machine_19,1f3cd95b19254f0c815f51562a450e26,Ronald Martinez,"['c', 'f', 'a', 'b', 'e', 'd']",Yes,-12.72,0.378558,2518,-12.24,0.70401,4714
Machine_16,a3a8dd51d7c84f99aee14b82ba45a0f0,Timothy Kirk,['c'],No,14.16,0.426158,3082,5.18,0.908705,3753
Machine_17,ef5f048d0d43492b8901715c202eddd6,Calvin Anderson,"['f', 'a', 'e', 'c']",N/A,9.89,0.99581,3238,-3.74,0.8465,4792
Machine_06,3c2b60a648924e98bb998a391037c28f,Christina Green,"['f', 'c', 'e', 'd', 'b', 'a']",No,3.19,0.66327,4898,-9.82,0.939492,3794
Machine_03,986ac3b8d9be40fb9691125368bd4c57,Richard Carr,"['e', 'b', 'c', 'd']",Yes,1.98,0.569841,2837,12.66,0.258,2827
Machine_04,c38c373e5b2542329f4064072d26c9e6,Harold Hayes,"['e', 'c', 'a', 'd']",No,-14.23,0.20133,3883,14.77,0.46283,4195
Machine_21,ef25be22d68945849e29d98c7f9f8d01,Eric Price,['e'],N/A,-9.45,0.428056,2721,0.45,0.704976,3768
Machine_19,d178e8fefe9444ffb113830fe3ae3608,Jody White,"['c', 'b', 'd', 'a']",No,-11.15,0.367824,2587,-9.51,0.338483,4369
Machine_18,4768f2dc6df84bfd97d7d89eb39163c0,Melissa Alvarez,['e'],No,11.33,0.679474,4612,-11.1,0.375966,2903
Machine_16,350bbd049dee44d2bf4f54c221aba1f6,Brittany Black,"['a', 'f', 'd']",No,-9.7,0.168357,3215,10.2,0.988968,3844
Machine_01,1a9b44232cbe4fa5973f7cfd7ba7e7e8,Dr. Michael Williams,"['f', 'c']",No,-9.3,0.23702,3170,14.53,0.380933,4815
Machine_05,9ec45436bfbf469981c8ee7ded369a99,Randy Martin,"['a', 'd', 'b', 'f', 'c']",Yes,12.41,0.40036,2693,10.14,0.816133,3127
Machine_22,cd12c3856bd9444cabde2e56af3529a2,Rachel Barnes,"['f', 'c', 'b', 'a', 'd']",N/A,-8.68,0.76596,3031,-1.72,0.101247,4267
Machine_14,dc3d3675758e4d71adda8ada379ffa3f,James Hendricks,"['f', 'd']",No,4.8,0.289276,4656,-3.69,0.633374,4443
Machine_08,a8f475152f9e46d9ad3afac849e03fc9,Levi Dillon,"['f', 'a', 'e', 'd']",N/A,-2.3,0.766511,4110,-1.13,0.633533,4392
Machine_06,8e8cc28912644ef0bb9e7b463a18fade,John Moore,"['e', 'a', 'c']",No,-10.8,0.803347,4436,6.66,0.205198,3555
Machine_06,00fd34c43b81434b96fb9e7270dfff3b,Erika James,['c'],N/A,-1.4,0.282139,4036,9.26,0.140679,3041
Machine_04,ec36d09853b248ad92261e501d9e9a26,Carol Jordan,"['d', 'a', 'e', 'b']",N/A,9.7,0.177453,3126,-8.21,0.31166,4651
Machine_05,adff5387d4e8449ba79e610daee3fe88,Heather Macias,"['c', 'f', 'a', 'b', 'e', 'd']",No,6.64,0.559028,3092,-2.94,0.245929,4050
Machine_12,e9fb844a9840438481d312339d3be3e8,John Torres,"['d', 'a', 'b', 'e']",Yes,4.76,0.730696,3339,5.82,0.279633,3190
Machine_13,c55dfdf413364c6799bc42b06d649011,Andrew Wilson,"['f', 'd', 'c']",Yes,7.57,0.612633,3539,7.62,0.967554,3151
Machine_18,feae7a2aeedb4b2d8f3a94a6a276afd6,Stephanie Deleon,"['b', 'a', 'f', 'c', 'd']",N/A,7.26,0.742529,4158,-6.2,0.964332,4090
Machine_06,b10fd4eb4d664ddaacdf5a5cd766a8e1,Krystal Hendricks,['f'],N/A,-2.42,0.531413,4365,-13.61,0.281743,4578
Machine_16,8708d3840e1c4f3da1afe3722a68b5cf,Jennifer Baker,"['e', 'c']",Yes,-5.77,0.479116,2781,-12.61,0.59362,4179
Machine_18,3df7c1d6066b4e26a7d88f4dd122c8e5,John Olsen,"['b', 'c', 'a']",Yes,7.7,0.614984,4788,-8.0,0.90391,4156
Machine_18,20bee6c92051420eaaa6707e5484b590,Lindsay Klein,['d'],N/A,-3.99,0.914972,2899,7.0,0.23766,4538
Machine_10,d5b8424248a04995a4c6e4b553507494,Adam Kelly,"['c', 'a', 'e', 'b', 'f']",Yes,9.47,0.902542,3095,-7.36,0.77845,4470
Machine_22,f242d54b352a4d8f842b6e1f9d1c7a57,Heather Cruz,"['a', 'd']",No,2.6,0.688056,4031,6.45,0.290887,3971
Machine_13,59e8c2ebfbb047efbce040afccce20c2,Michelle Campbell,['d'],No,-11.57,0.360726,3497,9.23,0.523559,3436
Machine_04,35b88cacb1dc4c2c9836898c8a967fd7,Vanessa Marshall,"['e', 'f', 'b', 'c']",No,2.39,0.243957,3788,2.87,0.96359,4432
Machine_11,979e6a07e30346398d14003484be961a,Travis Hoover,"['a', 'e', 'f', 'b']",Yes,-6.25,0.187245,2963,-9.89,0.29635,3457
Machine_02,aa03563a1f144eeb9f639875ddb38b91,Joseph Anderson,"['e', 'b', 'a', 'c', 'f']",Yes,13.0,0.70022,4699,-9.29,0.973415,4201
Machine_13,2dc207b96d564783845c1a56f5fb5d4f,Aaron Clark,['e'],No,-14.74,0.738043,4005,12.43,0.671872,3050
Machine_20,1c61edf1acae4023965006d8fa65d8bc,Darlene Garcia,['c'],Yes,8.18,0.397314,3348,4.84,0.211451,4225
Machine_17,24b4d3aae1904b87b73576f6a7c34b83,Kristin Steele,"['a', 'e', 'd', 'b']",Yes,0.7,0.135142,4204,-6.48,0.592427,4570
Machine_11,160516ca42d74f6cbf0427e5ec4d9ff5,Sharon Chavez,"['d', 'f', 'a']",No,9.0,0.801329,4327,-7.54,0.265517,4454
Machine_16,074a37cf768644978066421188a13716,Jeremy Ward,"['e', 'b', 'a', 'd']",No,2.8,0.992159,2741,-10.43,0.350686,3156
Machine_25,14c4eecf9fce4a6a9f9a0ce0f39d494b,Jeanette Lopez,"['b', 'f', 'd', 'a']",No,14.97,0.759092,3843,-9.66,0.159539,4521
Machine_22,a6d5b8a567db451f98d2964fe9f9c4b7,Cindy Alexander,"['d', 'e']",No,3.93,0.539,2678,-13.17,0.464749,4998
Machine_08,434ba6600bb149d3bdf409db6cc22f91,Ashley Sheppard,"['d', 'c', 'e', 'b', 'a']",Yes,-3.71,0.752359,4294,-2.56,0.887091,4419
Machine_03,865be3c043a74ef9badfa26d82919d73,Paul Walton,"['d', 'e', 'b', 'f']",N/A,-13.2,0.217393,2858,13.52,0.567115,3362
Machine_21,7ad74ff7b0a84aae8e969b04ec3f905b,Zachary Taylor,"['d', 'c', 'f', 'e', 'a', 'b']",N/A,9.63,0.213863,4217,5.96,0.327243,2842
Machine_24,abf92d69732a49708ad483066b9fc1cf,Robert Austin,['e'],N/A,-3.19,0.270944,2951,4.57,0.920682,3399
Machine_13,2cabe63f575f466a8198aeb6ae320694,Jonathon Morgan,"['c', 'a', 'e', 'd', 'b']",N/A,4.72,0.66373,4659,1.55,0.404258,2599
Machine_04,1c88b00b9c5043be89608d240d9d31c7,Matthew Hayden,"['a', 'f']",N/A,-1.31,0.65989,3614,-6.49,0.360522,3694
Machine_12,44b267255ec54d4cbfaaf82d22783afe,Mandy Mcgee,"['e', 'a', 'c', 'd', 'f']",Yes,1.2,0.347687,3063,-3.12,0.829063,2777
Machine_09,78dfe5a4cfa240629b9962397a653d53,Kelly Callahan,"['b', 'd', 'a', 'c', 'e']",No,-11.71,0.185798,3442,-2.25,0.36534,3147
Machine_09,6957622dec0c4a75bb80504848f4ab9f,Stephanie Dickson,"['b', 'f', 'd', 'e', 'a']",No,3.85,0.87327,3843,-5.9,0.36814,2846
Machine_20,2596f5da1aca4cb6b1f538e999b33187,Robert Jackson,"['b', 'e', 'c']",No,-12.53,0.128668,2829,4.59,0.182593,3714
Machine_08,a73b5e91eace4109b454382df92d3cd9,Megan Mitchell,['a'],N/A,13.34,0.91317,3782,-4.7,0.50785,3519
Machine_23,5cb265da8a9b4c91bcb4875c297513f3,Debbie Brown,"['d', 'c', 'b', 'f']",No,11.68,0.932587,4338,8.15,0.392661,3194
Machine_17,37118e8ad7274635bd8e5178345ea6a7,Michael Woods,['b'],Yes,-5.12,0.948063,3027,0.1,0.551009,4195
Machine_04,ff779d4fdfcf4996a9cc9ba083f51c40,Kathryn Adams,"['d', 'a', 'b', 'c']",N/A,-3.25,0.158492,3406,11.38,0.195329,4759
Machine_09,d0423561b31c4ca6a22c4eb59e19430b,Catherine Lin,"['d', 'b', 'e', 'c', 'a', 'f']",N/A,-7.67,0.837395,2586,9.58,0.65395,4187
Machine_06,57271a7020a64b3495610cc574e9b5cd,James Cruz,"['d', 'a', 'b', 'e', 'c']",Yes,-14.95,0.781919,4121,0.86,0.432487,3914
Machine_22,d93b5d9d4b944169837f0422b48c2cb4,Nicholas Stafford,"['e', 'b']",N/A,-8.5,0.536111,2774,8.57,0.472499,3050
Machine_20,38bd7dca1d3d44d6b0c028afb4ed94ad,Katrina Smith,"['c', 'f']",No,12.38,0.140108,2592,1.93,0.638126,4125
Machine_11,3b32405ea6d3407388e9e643aed7c335,Jeremiah Alvarez,"['f', 'c', 'e']",N/A,5.48,0.606865,4143,8.64,0.70735,4813
Machine_08,596c755454fe4d05a5094896635792b3,Daniel Robertson,"['b', 'e', 'd', 'f', 'c']",No,-5.58,0.827806,3295,-6.58,0.19166,3324
Machine_20,d4d2742be6fe4e4f8e903c30d47dd90c,David Bauer,['b'],Yes,5.22,0.638999,3596,-14.86,0.21654,4988
Machine_06,f43b7d7b0a354fd28b9a13fb72e58eb0,Emily Short,"['d', 'c', 'e', 'a']",N/A,-1.14,0.805388,3205,-14.76,0.369925,3354
Machine_13,e154729ecac84ea7b8f2100253d5a988,Cody White,"['b', 'e', 'd', 'c', 'a', 'f']",Yes,-1.77,0.67778,3055,2.1,0.325383,3858
Machine_21,798177ffb04d4a38bf30107604168cb3,Tammy Harvey,"['a', 'c', 'b', 'd', 'e', 'f']",No,5.42,0.939328,2819,0.96,0.941665,2941
Machine_17,87b34cf4c9c24e91884bebf1c5b3342e,Miguel Franklin,"['f', 'b', 'd', 'a']",N/A,7.99,0.612919,2956,12.23,0.308497,2909
Machine_22,1f2664a507a64622b708918aac7ab772,Deborah Glover,"['c', 'e', 'a', 'd', 'f', 'b']",Yes,14.15,0.403767,4471,14.3,0.662614,3075
Machine_03,cf4b32f632824a6ba5f04674c97f172d,Maria Brady,"['a', 'b']",No,14.3,0.628183,4135,-10.71,0.426451,4157
Machine_18,e75cb0d571714e54945927abb62fb298,Russell Johns,"['e', 'b']",N/A,-8.75,0.871139,2865,4.6,0.280883,3535
Machine_07,cb0ea068bff24f1b8202a7d8f74f3fff,Adam Fields,['e'],Yes,14.1,0.162011,3076,12.97,0.983876,2969
Machine_11,b2b5778755f54eb8a155fba108c520dc,Robert Monroe,"['e', 'a', 'f']",No,-8.32,0.34793,4487,1.68,0.84799,3792
Machine_15,3863dd67e47b4a149d6839fb0fef9c27,Jamie Castillo,"['e', 'a', 'b', 'f']",N/A,-2.65,0.155388,2788,-10.19,0.402702,4815
Machine_04,35d4c6dddf1147ad977036d7279bb6a6,Kelly Cunningham,"['f', 'd', 'e']",N/A,12.4,0.537301,3914,-7.99,0.76043,4072
Machine_12,5f4ed37f1a5549c0a4bee3727d7d7992,Jose Wright,['d'],Yes,-3.55,0.572258,2599,2.64,0.42214,4834
Machine_12,367c951c17664939aaa1b7b2a2ab8068,Jacob Peterson,"['d', 'f', 'a', 'c']",Yes,6.83,0.778931,3910,7.92,0.966805,2678
Machine_25,e8ee4b7b39d24996859f9c96679e1eb1,Kelly Cuevas,"['d', 'c']",N/A,14.74,0.223376,2611,8.58,0.641278,4309
Machine_11,4a962563b01544b8b0dc752aedaf02ba,Veronica Bradley,"['b', 'e', 'd', 'f', 'a', 'c']",No,-5.3,0.2673,3490,3.75,0.988073,4365
Machine_08,8229eec646344b29a929875e8791e0ad,Lori Thomas,"['b', 'c']",N/A,-9.68,0.937088,4330,1.26,0.629485,3966
Machine_20,afb1ac0d5afc4c14834a2930b80a0ee8,Robert Fernandez,"['c', 'd']",No,2.25,0.88505,4165,-4.93,0.45431,3286
Machine_07,d720030f7c53438ba2dccdf2d1c88ffa,Carla Grant,['c'],N/A,-5.88,0.440169,3786,13.86,0.57097,2971
Machine_02,05bdbb0e8fcf46e88ad89a00bee1f183,Christopher Adams,"['e', 'd', 'c', 'f', 'b', 'a']",No,-7.86,0.761464,2828,11.8,0.530716,2571
Machine_22,c93312f78c5d49cb90a1e6bef2ceeddb,Erin Quinn,"['a', 'e', 'b', 'f', 'c']",Yes,12.93,0.95922,4908,13.5,0.809676,4858
Machine_20,bf424a3493514195a3a79f0b6d44bbd3,Sharon Gonzalez,"['b', 'f', 'e']",Yes,-10.29,0.5201,3743,-10.94,0.214367,2821
Machine_05,04db21bef9ef4c9fad73a930f676a9dd,Mary Dickson,"['b', 'e']",Yes,-3.68,0.711042,3016,10.94,0.85525,3643
Machine_20,4029a550234142faad148a4270e8f9f9,April Thomas,"['f', 'e']",N/A,-14.53,0.15254,4486,3.5,0.995705,3401
Machine_22,5eb5af0d760c41dd93c3080b5d45833f,Eugene Ibarra,"['f', 'c']",N/A,8.24,0.366792,4507,-6.45,0.228455,3670
Machine_18,ccc5eed99f974bf29f4294d22df9d01f,Christopher Wilson,"['f', 'a', 'b', 'c', 'd']",Yes,-1.33,0.798351,3227,9.8,0.461891,3839
Machine_13,f88f7a8c64ba419886704a23e839f908,Hailey Huffman,"['f', 'd', 'b', 'c', 'a', 'e']",No,5.56,0.220342,4419,-8.5,0.102309,4692
Machine_13,275862ef2c2b461e9e4eabd54bd560ca,Michael Curry,"['a', 'b']",Yes,-7.12,0.426238,2785,14.7,0.551169,3313
Machine_07,4bb1b6606321485ab19445787249230c,Corey Villarreal MD,"['b', 'e', 'd', 'c', 'f']",N/A,-6.86,0.67114,4969,11.3,0.362151,3343
Machine_23,005bd9c674b9403fbaef9a31449858ba,Vanessa Alexander,"['f', 'b', 'a', 'd', 'c']",No,1.11,0.876535,3687,-2.42,0.919899,2863
Machine_20,a9a7c64e38e74960a935dc346439e86e,Jon Salazar,"['a', 'b', 'e', 'd', 'f', 'c']",No,-5.18,0.775116,3096,-11.65,0.335747,2809
Machine_12,8c4f9463323944d8afd7190ae1f2a09f,Sarah Gonzalez,"['e', 'd', 'f']",No,-13.18,0.80848,3678,6.84,0.5523,3270
Machine_20,c1c8faaa628443f39c85ee426e75d85a,Christopher Hernandez MD,"['f', 'b', 'a']",Yes,-10.56,0.982419,3235,12.4,0.786488,4425
Machine_19,77adada4370f4940b771fbd7f661ca4d,Jacob Mcintosh,['d'],Yes,2.5,0.902643,4913,-12.59,0.772931,4899
Machine_09,77668145ae67455b8fe0e43fc069681d,Rebecca Martin,"['a', 'e', 'b', 'd', 'f', 'c']",Yes,-10.9,0.906147,3132,13.97,0.71212,2932
Machine_09,7310feb1f8ff4e49903523d713f5d528,Marcus Ray,"['e', 'd', 'a']",N/A,-12.18,0.61459,3921,-4.32,0.409454,2590
Machine_10,170c134a23e1433a9796f8f2a6bdf22f,Christy Davis,"['b', 'f', 'e', 'd', 'c', 'a']",No,-1.74,0.745334,3859,8.72,0.968893,3320
Machine_10,a939682ca8764c28a4d0e5b1266b7112,Matthew Nelson,"['c', 'f', 'a', 'b', 'd', 'e']",Yes,-2.82,0.54493,3668,2.79,0.49095,4830
Machine_24,960abf43d5ee497ca465de95f6d06819,Caitlin Smith,['d'],N/A,-6.25,0.922968,4428,-6.65,0.139156,4993
Machine_16,5e51c2fbec9e48c7afc1e2eee048950a,Shane Benson,"['c', 'f']",N/A,8.13,0.457259,3770,-4.79,0.346474,4180
Machine_25,4147ed060a5149a993ed2e9f62f0c07a,Tonya Martinez,"['f', 'd', 'e']",Yes,7.45,0.890317,4287,-1.46,0.92061,4784
